index,ArXiv,FreeLaw,PubMed Central,Wikipedia (en),DM Mathematics,Github,Stack Exchange,Gutenberg (PG-19),Pile-CC,Ubuntu IRC,HackerNews,PubMed Abstracts,USPTO Backgrounds
1,7.0255866050720215,5.360580921173096,6.536046981811523,5.639575004577637,5.820674896240234,6.632823467254639,6.107803821563721,4.726566791534424,5.169477939605713,7.224245071411133,5.206871032714844,5.892633438110352,5.417374610900879
2,4.738541603088379,5.466145038604736,5.808464050292969,5.42556619644165,4.61490535736084,4.141744136810303,4.922904014587402,4.954422473907471,5.343518733978272,5.278083324432373,4.80118989944458,5.653641700744629,5.584351062774658
3,3.730258703231812,5.793972492218018,4.72146463394165,5.933119773864746,4.077418327331543,6.540956497192383,6.079324245452881,5.561453819274902,5.506680965423584,7.476072311401367,5.495143413543701,5.626057624816895,5.50736665725708
4,4.887355327606201,5.040224075317383,5.371085166931152,5.858128547668457,5.298433780670166,4.150362968444824,4.455072402954102,5.095427989959717,5.828740119934082,7.491352558135986,5.551083087921143,5.268948078155518,4.475535392761231
5,4.034541130065918,5.597909927368164,4.6931257247924805,5.8146257400512695,2.008139610290528,4.485220432281494,4.24920654296875,5.003798007965088,5.760408401489258,7.100966453552246,5.329304218292236,5.664215087890625,4.813331127166748
6,3.8481597900390634,5.519326210021973,5.222227573394775,5.401707172393799,5.442045211791992,4.315804481506348,5.147463321685791,5.998071670532227,5.9236016273498535,5.313143730163574,5.817320823669434,6.0437750816345215,5.67151403427124
7,5.365633010864258,5.7348151206970215,4.126685619354248,5.565597534179688,2.9376449584960938,5.73452091217041,5.128252029418945,5.392933368682861,5.41911506652832,5.869746685028076,5.159833908081055,5.069451332092285,4.25531530380249
8,7.175310134887695,3.980865478515625,6.568063259124756,5.785682678222656,5.779679298400879,6.64463996887207,6.25684118270874,5.178667545318604,5.321898460388184,7.332483768463135,5.339742183685303,5.812262058258057,5.509659290313721
9,5.732336521148682,6.613649368286133,3.839976310729981,6.18618631362915,5.692158222198486,7.759432315826416,6.9663615226745605,6.6692962646484375,6.354576110839844,8.405691146850586,6.47177791595459,4.594342708587647,5.514229774475098
10,4.920166969299316,5.735522270202637,4.18813419342041,4.815326690673828,5.443886756896973,5.298417091369629,5.052807331085205,5.244697570800781,5.520979404449463,7.628385543823242,5.575355052947998,5.24343204498291,5.451025485992432
